"2024-09-24 00:00:00","","-1","-1"
"오늘 국정감사 레전드 짤 떴다ㅋㅋㅋㅋㅋ","shorts.","188426","6189"
"김희철이 생각하는 이상적인 연애","shorts #뇌절자 원본영상은 '찹찹 ChopChop' 채널에서 보실 수 있습니다.","40673","321"
"거리가 나려면 결국 헤드가 제일 빨라야해요! #골프레슨 #골프 #golf #골프스윙","","13692","567"
"민주당은 민주가 아닙니다. 금투세토론회  개인투자자 문전박대","","12462","1081"
"(춤추는단아) 귀요미 우주랑...💕💕  #emergency#challenge#911emergency#댄스챌린지#shorts#dance  #춤추는곰돌#랜덤플레이댄스#배틀#fyp#쇼츠","","9416","393"
"에어팟 가격이 선녀처럼 보이는 마법 #shorts","조카소 댄스 AI 출시!! 포인트 받고 무료로 사용해보기 https://jocasso.codemafia.io/dance (신간)Do it! 조코딩의 첫 웹 개발 ...","3013","42"
"소변을 계속 참을 수 있을까? #Shorts #사물궁이","사물궁이 유튜브 채널 구독 : https://youtube.com/@사물궁이 - 사물궁이 시리즈 정주행 ...","6172","178"
"모든 원인은 OOO때문? 이유는? #shorts #윤석열 #김건희","공천개입 #한동훈 #대통령실 #총선 #국민의힘 #김준일 #최경영의정치본색 ♣️쇼핑이 후원이다 '스픽스토어' https://speaks.store/ ...","6834","332"
"2024-09-23 00:00:00","","-1","-1"
"백종원&amp;셰프가 평가하는 급식 아주머니 요리 ㄷㄷ.. #흑백요리사","넷플릭스 #요리 #백종원 #흑백요리사 제목은 '흑백요리사'입니다. 넷플릭스에서 시청 가능합니다. 넷플릭스 바로가기 ...","1415434","42160"
"2024 월즈 주제곡이 페이커 헌정곡인 이유","","129658","3472"
"한동훈, 윤석열에 독대 요청, &quot;대통령실이 한동훈 엿먹여..&quot; #shorts","더 많은 광주·전남 뉴스를 보고 싶다면 KBC뉴스를 '구독' 해주세요 ▷KBC 뉴스 홈페이지 https://news.ikbc.co.kr/news/main ▷KBC ...","72539","3400"
"텃밭에 사생팬이 오셨..네? #강평이형 #조혜련티비","","46576","2960"
"크리스천이라고 힘들다는 거 다 받이줘야 하나요?","","34907","2118"
