"2024-09-23 00:00:00","","-1","-1"
"백종원&amp;셰프가 평가하는 급식 아주머니 요리 ㄷㄷ.. #흑백요리사","넷플릭스 #요리 #백종원 #흑백요리사 제목은 '흑백요리사'입니다. 넷플릭스에서 시청 가능합니다. 넷플릭스 바로가기 ...","1415434","42160"
"2024 월즈 주제곡이 페이커 헌정곡인 이유","","129658","3472"
"한동훈, 윤석열에 독대 요청, &quot;대통령실이 한동훈 엿먹여..&quot; #shorts","더 많은 광주·전남 뉴스를 보고 싶다면 KBC뉴스를 '구독' 해주세요 ▷KBC 뉴스 홈페이지 https://news.ikbc.co.kr/news/main ▷KBC ...","72539","3400"
"텃밭에 사생팬이 오셨..네? #강평이형 #조혜련티비","","46576","2960"
"크리스천이라고 힘들다는 거 다 받이줘야 하나요?","","34907","2118"
"😋혼자 먹기에는 양이 많은 허니브레드?✨그런 빵 소식좌분들을 위한 미니 허니브레드?🤍그래도 원조 허니브레드가 역시 짱이지👍🏻#카페브이로그#카페#카페알바#카페vlog","","18015","322"
"허성무, 명태균과 통화를? 주고 받은 내용이 #shorts","shorts #역전의용사들 #역전의용사들 #이지은 #오창익 #전계완 #명태균 #김건희 #윤석열 #총선 #김영선.","15458","496"
"고양이의 두 눈이 휘둥그레진 이유","","8374","153"
"어좁이 어깨 넓어질 수 잇다!!","어좁이테스트2 #휴지테스트 #어깨휴지테스트 #어깨넓이 #어넓이 #어좁이 #프레임 #뼈대 http://www.ironmaxx.co.kr/ [ 아이언맥스 ...","7201","105"
"얼굴은 쪼맨한데 방뎅이가 큰 고양이","고양이 #시트콤 #아빠와고양이.","6142","124"
"[9화 선공개] 그렇고 그런 사이인 김영대X이상이...?! #손해보기싫어서","티빙에서 스트리밍 : https://tving.onelink.me/xHqC/30a78d6f 손해 보기 싫어서 시작한 결혼         야 이거 진짜 같다!!   가짜에서 ...","3691","35"
"2024-09-22 00:00:00","","-1","-1"
"Shark Finger Family Result","김프로 #유백합 #KIMPRO Contact   DM : https://www.instagram.com/kimpro828/ E-mail : fm1778@naver.com.","1972856","65352"
"취업 사기 #고양이밈","shorts.","243301","9509"
"[레알vs에스파뇰] 비니시우스, 음바페 골! 역전승 거두는 레알 ㄷㄷ","shorts.","90108","3041"
"연애에 얼굴이 전부가 아닌 이유","공감 #연애 #상담 본채널 : https://www.youtube.com/c/주둥이방송 다시보기: ...","94670","2543"
"페이커 월즈 기록이 말도 안되는 이유","","40566","943"
"영케이처럼 노래하면 고음이 올라갈 수 밖에 없는 이유 #shorts","영케이 #데이식스 자료 영상:놀면뭐하니 ▶️발성 전문 엔보이스는 업계 최초이자 유일하게 100% 무보정 라이브만을 고집하여 ...","22722","255"
"눈치가 0 단인 홍진경 매니저 조진세","shorts #숏박스 #스케치코미디 #웃긴영상 #개그 #드립 #홍진경 이번 영상은 유튜브 ""숏박스"" 채널 ""매니저"" 편에서 풀버전으로 보시는 ...","15081","146"
"정우성이 조인성 참교육 하는법 #더킹","영화 #더킹 #박태수 #한강식 #조인성 #정우성 #류준열 #김아중.","11946","80"
