"2024-12-09 00:00:00","","-1","-1"
"중안부 1cm는 짧아보이는 애교살 성형 메이크업:)","중안부 1cm는 짧아보이는 애교살 성형 메이크업:) ⠀ 중안부 점점 길어지는거 저만 신경쓰이나요? 중안부가 짧아 보이면 동안에 ...","2079","0"
"박범계 &quot;김용현 전 국방장관이 평양에 무인기 보냈단 제보받아&quot; / 연합뉴스TV (YonhapnewsTV)","박범계 ""김용현 전 국방장관이 평양에 무인기 보냈단 제보받아"" 박범계 더불어민주당 의원은 ""김용현 전 국방부 장관이 평양에 무인기 ...","405","2"
"아이엠이 말아주는 #뉴진스 #teamiam  #supernatural #newjeans","","169","57"
"윈터가 없어서 카리나가 대신한 Whiplash 그 파트","UTOFEST.","289956","10635"
"UFC 311 기자회견, 타이틀 방어 성공하면 이슬람이 P4P 1위야?","shorts UFC 311 기자회견, 타이틀 방어 성공하면 이슬람이 P4P 1위야? #ufc #ufc310 #islammakhachev #armantsarukyan #이슬람 ...","45043","1025"
"선생님이 맞습니다2","","349463","19905"
"탄핵 무산 불똥 튄 임영웅, 차은우 50초 안에 설명하기 #김진 #돌직구쇼","","235186","28489"
"과거 영탁이 정동원을 크게 혼냈던 충격적인 이유#shorts","임영웅 #황영웅 #불타는트롯맨 #미스터트롯 #이부진 #이재용 #사건사고 #장윤정 #도경완 #장민호 #영탁 #이찬원 #정동원 #김호중 ...","8285","832"
"BLG가 바라보는 페이커 #blg #페이커 #나이트 #롤드컵 #shorts","","43237","848"
"포장계 삐코의 서랍정리✨ #언니가댓글관리함","Music provided by 브금대통령 Track : 귀염뽀짝 ▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭ 링크 ...","17344","491"
"#후라이팬이 달궈졌는지 확인하는 법","임성근 셰프님에게 컨설팅 의뢰를 문의하시는 분들이 많아서 멤버쉽 가입에 따로 컨설팅 회원 설정을 해놨습니다. 궁금하신 분들은 ...","3799","40"
"2024-12-08 00:00:00","","-1","-1"
"들깨 사골 감자옹심이! #내가꽃이다#김태연","","1759","90"
"송하영 피셜 플로버가 진짜 좋아할 거 같은 영상","송하영 #하영 #프로미스나인 #프나 #프미나 #fromis_9.","10452","1010"
"T냥이도 우나영??","T냥이도 우나영?? 출처 : QWER YoTube #qwer #쵸단 #chodan #마젠타 #magenta62 #히나 #ひな #Hina #냥뇽녕냥 #이시연 ...","8403","618"
"이 시국, 여돌들의 &#39;버블&#39; 근황","스테이씨 #있지 #엔믹스 #아이돌 #논란 #엔터테인먼트 #shorts.","928232","39202"
"[미공개] 덱스가 친구 없는 이유","덱스 #임지연 #냉터뷰 ─ 냉미남 덱스는 모두와 친해지고 싶어요❄️   117가지 맛있는 즐거움, 일일칠 117 kinds of delicious ...","69364","1657"
"와 다 끝났다.. 생각했는데","brawlstars #brawlstarsshorts #브롤스타즈 #워니형 안녕하세요! 워니형WoniBrother! 입니다. 워니형은 '게임'을 잘하고 싶지 않습니다 ...","16572","505"
"세상에서 데이터 전송속도가 가장 빠른 수단","","14788","467"
"사촌동생이 맞습니까#낭만박상환","","86678","3905"
"&quot;이것들이 북한과 전쟁도 일으킬려고 했었음&quot;","""이것들이 북한과 전쟁도 일으킬려고 했었음"" 이번 비상계엄은 단순히 계엄만 발동시킨게 아니라 그 전에 북한과 전쟁을 먼저 일으키 ...","18729","613"
"여사원 면접기준이 치마길이","코메디빅 리그 #유머 #웃찾사 #코메디 #런닝맨 #snl #스브스 #웃긴영상 #obs.","6150","46"
"강동원이 진짜 재밌게 찍은 작품","shorts #침착맨 #강동원 #박정민 #이창호.","3603","45"
"2024-12-07 00:00:00","","-1","-1"
"사업이 위험한 이유 ㄷㄷㄷ","","5118","78"
"아이브 포카60장 나눔이벵🙈 (윤럽님 참고)","","3881","393"
"이 난리속에서 워토우는 밋있어 🤭","","30413","2616"
"후배가 선배를 사랑하는 만큼‼️","이주승 선수가 김동명 선수를 수비하던 중 재미있는 광경   #열정을던져라 #Hleague #Handball #SportsHighlights #핸드볼 #H리그 ...","8389","65"
"15분 에뤼코 챌린지","leagueoflegends #롤 #세트 #shorts.","53265","2702"
"죽음이 두려운 이유 l 만나교회 김병삼 목사#shorts","만나교회 #분당만나교회 #기독교 #マンナ教会 -------------------------- 만나교회 https://manna.or.kr 온라인헌금 ...","3364","0"
"백수키우기 RPG 아예 관련이 없네","키득가득.","132739","5532"
"#장수왕이 천도한 평양은 요녕성 요양","","10718","218"
"여러분의 선택은..?🥹 달콤예서 VS 해피예서 @보름달예서TV","","14078","301"
"드라이버 임팩트 타이밍은 바로 여기에 있습니다 #드라이버비거리","골프스윙 #골프팁 #골프레슨 #원포인트레슨 #아이언레슨 #드라이버레슨 #아이언스윙 #드라이버스윙 #프로스윙 #골프스윙 #투어 ...","50787","431"
"이 동작의 이름이 뭘까요❓","","9806","102"
"2024-12-06 00:00:00","","-1","-1"
"나오자마자 이건 유행하겠다 싶었던 챌린지 있어 ? 나는 요고 !!!…#뽀구미 #큐티파티 #챌린지 #08년생  #미쉐린 #타이어 #fyp #망둥어","","40","2"
"[여자친구] 감 다 살아난 딩고 여자친구 킬링보이스 #Shorts","여자친구 #GFRIEND #소원 #예린 #은하 #유주 #신비 #엄지 #VIVIZ #비비지.","142700","8717"
"미스코리아 비율이 다른 여자와 비교되는 이유","shorts #미스코리아 #이선균 #이연희 #이미숙 #이성민 #송선미 #이기우 #고성희.","1221505","52224"
"[엔믹스] 오해원 앞에서 배이가 최애라고 하면 생기는 일ㅋㅋㅋㅋ","엔믹스 #nmixx #jyp #해원 #워크돌 https://youtu.be/0CnEduDB6VI?si=-drUEBCpclDn4d84.","188007","7139"
"민간인이 직접 군대를 지휘? 내란죄의 최고형은 사형이다","뉴스 #이이제이 #시사 #언론 #이동형tv #정치.","527711","32907"
"귀요미들의 첫눈 챌린지🫶#춤추는서엘#춤추는곰돌#afstarz#키즈크리에이터#dance#kpop#쇼츠#챌린지#kpopdance#첫눈챌린지","","766","0"
"같이 쓰면 효과가 대박인 다이소꿀템 조합","","466502","12323"
