"Title","Description"
"얼굴이 입이 된다고?? 🧐 일러스트 밈 검증해 봄!! @atam_illust","顔が口になるらしい...?! #検証 #チャレンジ #イラスト."
"어느 순간 밈이 된 한국 노래 가사 TOP9","비즈니스 문의 : issue.meal@gmail.com #kpop #케이팝 #뉴진스 #아이브 #아일릿 #아이유 #세븐틴 #오마이걸."
"유행이 너무 빠른 1년 후",""
"#뮤지컬 #밈 뮤지컬 밈 모아보기!! 이것들 다 알걸?","뮤지컬을 사랑하는 마음을 담아, 뮤지컬 플레이리스트 뮤꼬꼬   - 뮤지컬 베어 더 뮤지컬, 911 emergency 김려원 외 뮤지컬 ..."
"케이팝도 유행하기 전에 10년전 이 한국인이 먼저 세계를 주름잡았다","케이팝도 유행하기 전에 10년전 이 한국인이 먼저 세계를 주름잡았다(역대급 바이올린 연주) #대한민국 #shorts #해외반응 #외국인 ..."
"미국에서 유행한 정신나간 다이어트","군림보 채널을 찾아주셔서 감사합니다. 좋은하루 되세요!! ▷군림보 인스타 : https://bit.ly/2YgJDTj ▷군림보의 생방송 ..."
"하나에 5만원?!💀틱톡 유행 스웨덴 캔디 유행 이걸로 종결🍬 #asmr",""
"스카이블럭:트루먼쇼","마인크래프트 #마크 #밈 스카이블럭인데.."
"#뮤지컬 #밈 설마 이것들도 다 알아?","뮤지컬을 사랑하는 마음을 담아, 뮤지컬 플레이리스트 뮤꼬꼬   - 뮤지컬 난쟁이들, 끼리끼리 정동화, 최호준, 전역산, 우찬, ..."
"밈 모르는 갓생러들. 긴장해야 하는 이유.","이삼십 short 시리즈 #이삼십 #2310 #animation #애니메이션 #공감 #밈 #밈사이드아웃."
"일본에서 유행한 비닐봉지로 밥 짓기",""
"촉법소년 #고양이밈","shorts."
"전쟁 위기 #고양이밈","shorts."
"한국 대사관 #고양이밈","shorts."
"군인 #고양이밈","shorts."
"대북풍선 #고양이밈","shorts."
"비행기가 추락중임 그런데 에어팟: 💀  #항공 #밈",""
"요즘 유행하는 티니핑 이름 맞추기 3탄! ㅋㅋㅋ[모동숲]","모동숲 #티니핑 #상황극 - ♥로나딩 유튜브 멤버십https://www.youtube.com/channel/UCg7ZESiNqxYUeJilJR4_Y1w/join - 구독 ..."
"멤버들이 직접 맞춰보는 라이즈 유행밈",""
"#뮤지컬 #난쟁이들 잊을만 하면 생각나는 백마탄 뜨그덕 왕자님들","뮤지컬을 사랑하는 마음을 담아, 뮤지컬 플레이리스트 뮤꼬꼬   - 뮤지컬 난쟁이들, 끼리끼리 정동화, 최호준, 전역산, 우찬, ..."
"[요즘 유행] 따라가다가🫢","쇼츠 #유행 #오마이비키."
"롤 역대급 미소 밈을 남긴 프로 선수들ㅋㅋ","shorts #쇼츠 #플레임 #러스트보이 #롤 #밈 #미소 #프로 #선수 게임팟 유튜브 ..."
"요즘 유행하는 마시멜로우 초콜릿! 제발 그렇게 만들지마세요",""
"옛날 세대 vs 요즘 세대 차이점 | #고양이밈","옛날 세대 vs 요즘 세대 차이점 #고양이 #고양이밈 #해피캣 #일상 #공감 #학교 #군대 #mz세대 #꼰대 #옛날 #요즘 #cats #catshorts ..."
"동탄 화장실 #고양이밈","shorts."
"해외에서 ‘이미 유행 중’이라는 브랫과 드뮤어 룩","올드머니 #brat #브랫 #드뮤어 #demure #패션트렌드 #가을 #데일리룩."
"정당방위 #고양이밈","shorts."
"시뮬레이션 #고양이밈","shorts."
"여친 얼굴 3단 변화","여친 얼굴 3단 변화 #shorts #고양이밈 #고양이짤 #밈 #고양이영상 #레전드 #유머."
"니가 왜 거기서 나와 [발로란트 밈]","발로란트 #발로란트밈 #발로란트_하이라이트 #냥로란트 #valorant #valorantclips #valoranthighlights #valorantfunny #shorts."
"두바이초콜릿 유행시킨 젼언니표 라바샥? #shorts #라바삭 #젼언니 #두바이초콜릿 #먹방영상 #먹방asmr #먹방브이로그 #신상리뷰 #더현대서울 #간식추천 #팝업스토어",""
"여친이랑 마인크래프트 할 때 ㅋㅋㅋ | #고양이밈","여친이랑 마인크래프트 할 때 ㅋㅋㅋ #고양이 #고양이밈 #해피캣 #일상 #공감 #커플 #연애 #남친 #여친 #마크 #마인크래프트 #cats ..."
"&quot;검색대서 분노 유발&quot;…유행이라는 &#39;공항 트꾸&#39; 뭐길래 #JTBC #Shorts","최근 틱톡을 중심으로 해외에서 '공항 트레이 꾸미기'가 유행입니다. [화면출처/틱톡 'chelseaasoflate' 'vickirutwind' 'supreetstreet' ..."
"아니 유행 따라가기가 왜 이렇게 힘드냐!!(출처:왕클세종)#알고리즘떠라#떡상기원",""
"요즘 압도적 개큰 유행 중인 커플 트렌드✌🏻 #H2 #핫투데이 #fyp",""
"곡예비행 할 때 파일럿이 듣는 것들 #항공 #밈",""
"준식이법 #고양이밈","shorts."
"유행은 돌고 돈다 다시 유행중인 유선 이어폰","( 제품 링크: (쿠팡) 원모어 피스톤 피트 C타입 인이어 이어폰 https://link.coupang.com/re/SHARESDPNUL?"
"요즘 유행하는 고급간식 한꺼번에 먹는 방법 ㅋㅋㅋ","두바이초콜릿 #파르페 #요아정 Music provided by 브금대통령 https://www.bgmpresident.com/ Track : 귀여운 BGM 모음 ..."
"해외에선 이제 유행하는🤟🏻 #touch #katseye #캣츠아이 #😽 #👀 #kpop #cover",""
"원숭이 인형 이거 왜 유행인지 아시는분~",""
"🌶남친 소중이가 작은 커플 특징🌶 #고양이밈 #커플공감 #커플특징",""
"남친의 소중한 부분이 잘린 이유 #고양이밈",""
"유행 따라가기 힘들고만🧜‍♀️💦 #요아정  #유행댄스 #수중댄스 #인어공주 #kpop #underwater #mermaid","kpopdance #shorts #underwaterdance 류희진 Instagram: underwater_ryu."
"태어나서 야X 처음 볼 때 ㅋㅋㅋ | #고양이밈","야X 볼 때 조심하세요 ㅋㅋㅋ #고양이 #고양이밈 #해피캣 #일상 #공감 #친구 #브롤스타즈 #19 #엄크 #cats #catshorts #catmemes ..."
"【발로란트 밈】 바이스 딱밤 개마렵네","발로란트밈 #코난춤 #valorantmeme ☆ 아이디어 제공 : @장용환 에게 이 영상을 바칩니다 ☆ 평일 저녁 5시, 주말 2시 방송 중 ..."
"권태기를 이겨낸 한 커플의 이야기 #고양이밈",""
"SNL| 유행밈 따라하는 영포티 아재의 급발진",""
"요즘 유행인 마쉬멜로스모어 초콜릿! 단 1,000원으로 만드는 법",""
"부장님이랑 대환장 할미 챌린지 #유행 #할미챌린지 #춤","shorts #챌린지 #challenge 회사에서 리뷰하는 사람은 처음이지? Music provided by 브금대통령 Track : Vinyl records ..."
"[요즘유행] 포토카드 챌린지🫢 출처: 유부초바압","포카 #챌린지 #포카챌린지 #쇼츠."
"노가다 #고양이밈","shorts."
"웃음참기 211편. 당랑권의 고수가 될 밈","웃음참기 #웃긴영상 #챌린지 #리액션 contact: bunggu26@naver.com."
"요즘 유행하는 스웨디시 젤리 마시멜로우 버전?",""
"&quot;정정당당한 시험~&quot; | [AI 뮤지컬] #뮤지컬  @GyuriGyurl","시옷시옷 #밈 #ai뮤지컬."
"요즘 유행하는 스웨덴젤리?? #shorts","젤리먹방 #스웨덴젤리 #asmr먹방 #젤리asmr #asmreatingsounds #asmreatingshow #asmrjelly #스웨덴캔디 #스웨디시젤리 ..."
"담배 처음 필 때 ㅋㅋㅋ | #고양이밈","담배 처음 필 때 ㅋㅋㅋ #고양이 #고양이밈 #해피캣 #일상 #공감 #담배 #금연 #학생 #일진 #중딩 #고딩 #cats #catshorts #catmemes ..."
"혼자 발로 화공을 킨 나 #발로란트 #발로란트밈 #더빙","운영 중인 서버 :: https://discord.gg/activation 인스타그램 :: https://www.instagram.com/activation1229/ 서버 외주 ..."
"빈집털이 #고양이밈","shorts."
"가장 먼저 도착한 조문객","가장 먼저 도착한 조문객 #shorts #썰 #밈 #레전드 #커뮤니티 #유머 #감동 #훈훈."
"새롭게 유행 중인 스웨덴 캔디...?",""
